2025-12-25 16:35:51 | INFO     | spectra_ai | _connect:100 | 🔌 Connecting to MongoDB...
2025-12-25 16:35:51 | INFO     | spectra_ai | _connect:107 | 🖥️  Connecting to Local MongoDB...
2025-12-25 16:35:51 | INFO     | spectra_ai | _connect:123 | ✅ MongoDB connected successfully!
2025-12-25 16:35:51 | INFO     | spectra_ai | _connect:124 | 📊 Database: spectra
2025-12-25 16:35:51 | INFO     | spectra_ai | _connect:129 | 🌐 Host: Local (localhost:27017)
2025-12-25 16:36:31 | INFO     | spectra_ai | _connect:100 | 🔌 Connecting to MongoDB...
2025-12-25 16:36:31 | INFO     | spectra_ai | _connect:107 | 🖥️  Connecting to Local MongoDB...
2025-12-25 16:36:31 | INFO     | spectra_ai | _connect:123 | ✅ MongoDB connected successfully!
2025-12-25 16:36:31 | INFO     | spectra_ai | _connect:124 | 📊 Database: spectra
2025-12-25 16:36:31 | INFO     | spectra_ai | _connect:129 | 🌐 Host: Local (localhost:27017)
2025-12-25 16:58:37 | INFO     | spectra_ai | _connect:100 | 🔌 Connecting to MongoDB...
2025-12-25 16:58:37 | INFO     | spectra_ai | _connect:107 | 🖥️  Connecting to Local MongoDB...
2025-12-25 16:58:37 | INFO     | spectra_ai | _connect:123 | ✅ MongoDB connected successfully!
2025-12-25 16:58:37 | INFO     | spectra_ai | _connect:124 | 📊 Database: spectra
2025-12-25 16:58:37 | INFO     | spectra_ai | _connect:129 | 🌐 Host: Local (localhost:27017)
2025-12-25 17:00:00 | INFO     | spectra_ai | _connect:100 | 🔌 Connecting to MongoDB...
2025-12-25 17:00:00 | INFO     | spectra_ai | _connect:107 | 🖥️  Connecting to Local MongoDB...
2025-12-25 17:00:00 | INFO     | spectra_ai | _connect:123 | ✅ MongoDB connected successfully!
2025-12-25 17:00:00 | INFO     | spectra_ai | _connect:124 | 📊 Database: spectra
2025-12-25 17:00:00 | INFO     | spectra_ai | _connect:129 | 🌐 Host: Local (localhost:27017)
2025-12-25 17:01:08 | INFO     | spectra_ai | _connect:100 | 🔌 Connecting to MongoDB...
2025-12-25 17:01:08 | INFO     | spectra_ai | _connect:107 | 🖥️  Connecting to Local MongoDB...
2025-12-25 17:01:08 | INFO     | spectra_ai | _connect:123 | ✅ MongoDB connected successfully!
2025-12-25 17:01:08 | INFO     | spectra_ai | _connect:124 | 📊 Database: spectra
2025-12-25 17:01:08 | INFO     | spectra_ai | _connect:129 | 🌐 Host: Local (localhost:27017)
2025-12-25 17:01:55 | INFO     | spectra_ai | _connect:100 | 🔌 Connecting to MongoDB...
2025-12-25 17:01:55 | INFO     | spectra_ai | _connect:107 | 🖥️  Connecting to Local MongoDB...
2025-12-25 17:01:55 | INFO     | spectra_ai | _connect:123 | ✅ MongoDB connected successfully!
2025-12-25 17:01:55 | INFO     | spectra_ai | _connect:124 | 📊 Database: spectra
2025-12-25 17:01:55 | INFO     | spectra_ai | _connect:129 | 🌐 Host: Local (localhost:27017)
2025-12-25 17:02:47 | INFO     | spectra_ai | setup_logging:126 | ✅ Logging system initialized
2025-12-25 17:02:47 | INFO     | spectra_ai | setup_logging:127 | 📝 Log file: R:\2025\Projects\Spectra-AI\data\logs\spectra_ai.log
2025-12-25 17:02:47 | INFO     | spectra_ai | setup_logging:128 | ❌ Error log: R:\2025\Projects\Spectra-AI\data\logs\errors.log
2025-12-25 17:02:47 | INFO     | spectra_ai | _connect:100 | 🔌 Connecting to MongoDB...
2025-12-25 17:02:47 | INFO     | spectra_ai | _connect:107 | 🖥️  Connecting to Local MongoDB...
2025-12-25 17:02:47 | INFO     | spectra_ai | _connect:123 | ✅ MongoDB connected successfully!
2025-12-25 17:02:47 | INFO     | spectra_ai | _connect:124 | 📊 Database: spectra
2025-12-25 17:02:47 | INFO     | spectra_ai | _connect:129 | 🌐 Host: Local (localhost:27017)
